id,count,men,women,name,party,state
190,,1,,Other/No Answer,D,TN
191,,64,70,Hillary Clinton,D,TN
192,,0,1,Uncommitted,D,TN
193,,35,29,Bernie Sanders,D,TN
194,966,42,58,total,D,TN
195,,,1,Other/No Answer,R,TX
196,,15,21,Marco Rubio,R,TX
197,,4,5,John Kasich,R,TX
198,,1,1,Uncommitted,R,TX
199,,45,41,Ted Cruz,R,TX
200,,4,4,Ben Carson,R,TX
201,,1,2,Jeb Bush,R,TX
202,,31,25,Donald Trump,R,TX
203,1969,50,50,total,R,TX
204,,1,2,Other/No Answer,D,TX
205,,61,70,Hillary Clinton,D,TX
206,,38,28,Bernie Sanders,D,TX
207,1481,42,58,total,D,TX
208,,1,2,Other/No Answer,R,VT
209,,17,21,Marco Rubio,R,VT
210,,32,30,John Kasich,R,VT
211,,10,9,Ted Cruz,R,VT
212,,4,5,Ben Carson,R,VT
213,,2,2,Jeb Bush,R,VT
214,,34,31,Donald Trump,R,VT
215,536,53,47,total,R,VT
216,,9,17,Hillary Clinton,D,VT
217,,91,83,Bernie Sanders,D,VT
218,1542,43,57,total,D,VT
219,,1,1,Other/No Answer,R,VA
220,,28,35,Marco Rubio,R,VA
221,,10,9,John Kasich,R,VA
222,,18,15,Ted Cruz,R,VA
223,,4,9,Ben Carson,R,VA
224,,1,0,Jeb Bush,R,VA
225,,38,31,Donald Trump,R,VA
226,1523,53,47,total,R,VA
227,,1,,Other/No Answer,D,VA
228,,57,70,Hillary Clinton,D,VA
229,,42,30,Bernie Sanders,D,VA
230,1413,43,57,total,D,VA
231,,3,2,Other/No Answer,R,WI
232,,14,15,John Kasich,R,WI
233,,35,35,Donald Trump,R,WI
234,,0,0,Uninstructed,R,WI
235,,48,48,Ted Cruz,R,WI
236,1532,53,47,total,R,WI
237,,1,1,Other/No Answer,D,WI
238,,35,49,Hillary Clinton,D,WI
239,,64,50,Bernie Sanders,D,WI
240,,0,0,Uninstructed,D,WI
241,1774,43,57,total,D,WI
